tags,val/llrmse_climax,test/ssp245/pr/llrmse_climax,test/ssp245/tas/llrmse_climax,test/ssp245/llrmse_climax,test/ssp245/pr/mse,test/ssp245/tas/mse,test/ssp245/mse,test/ssp245/pr/rmse,test/ssp245/tas/rmse,test/ssp245/rmse,test/ssp245/pr/llrmse_wheather_bench,test/ssp245/tas/llrmse_wheather_bench,test/ssp245/llrmse_wheather_bench
"['NorESM2-LM_AWI-CM-1-1-MR', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",0.001671195342201272,0.22012345049655194,0.20794521677197905,0.0016721432315176992,0.04172844563921293,0.03772476688027382,0.07945321251948674,0.20427515109380087,0.19422837595144907,0.39850352704524994,0.1985182116429011,0.1884455680847168,0.3869637797276179
"['NorESM2-LM_AWI-CM-1-1-MR', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.0014639322630829379,0.3245806244856182,0.3023472397395122,0.0024489369696294155,0.09384058664242427,0.08241372058788936,0.17625430723031363,0.3063329259554545,0.2870756983757019,0.5934086243311564,0.29071304202079773,0.2725010613600413,0.563214103380839
"['NorESM2-LM_BCC-CSM2-MR', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",0.0022007514781795493,0.2908732117871276,0.2772923121647617,0.0022193965779370678,0.07705835004647572,0.07048348834117253,0.14754183838764826,0.27759385108947754,0.26548726360003155,0.543081114689509,0.2613918681939443,0.24909248451391855,0.5104843527078629
"['NorESM2-LM_BCC-CSM2-MR', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.0014624453528664205,0.35295810785163706,0.32699560528432076,0.002656069191937335,0.10915158937374751,0.09571691354115804,0.20486850291490555,0.33034542202949524,0.30936269958813983,0.6397081216176351,0.3116375505924225,0.291746844847997,0.6033843954404196
"['NorESM2-LM_EC-Earth3', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.001665317664383062,0.3189480536511539,0.3016581034947218,0.002424242801351077,0.09042563537756602,0.0811548853913943,0.17158052076896033,0.3005715608596802,0.2846687336762746,0.5852402945359548,0.277747909228007,0.2625812391440074,0.5403291483720144
"['NorESM2-LM_FGOALS-f3-L', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",0.0019281818643679654,0.25552631787212426,0.24190231221632263,0.001943080586282996,0.05671258022387823,0.05107598379254341,0.10778856401642163,0.23814266920089722,0.22599878907203674,0.46414145827293396,0.22871129711469015,0.2167357305685679,0.44544702768325806
"['NorESM2-LM_FGOALS-f3-L', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.0015324400542706543,0.305909814180624,0.2826068978481154,0.002298893406362263,0.08338844279448192,0.07288984954357147,0.15627829233805338,0.28873908519744873,0.2699420154094696,0.5586811006069183,0.2709778646628062,0.2539406518141429,0.5249185164769491
"['NorESM2-LM_MPI-ESM1-2-HR', 'conv_lstm', 'finetuning_emulator', 'run2', 'tas+pr']",0.0017458374861431083,0.2292547118787894,0.21759102100164288,0.0017454911440641886,0.04554342105984688,0.04135236392418543,0.08689578498403232,0.21340873340765634,0.20335247119267783,0.41676120460033417,0.2073027640581131,0.19716627399126688,0.40446903804938
"['NorESM2-LM_MPI-ESM1-2-HR', 'finetuning_emulator', 'run2', 'tas+pr', 'unet']",0.0014807712667502693,0.28439002388339124,0.2662348625944673,0.002150878462804135,0.073268527785937,0.06503878285487492,0.13830731064081192,0.2703603108723958,0.2547486573457718,0.5251089682181677,0.2575664470593135,0.242830420533816,0.5003968675931295
